Seeded RNG: 2514336011
Running IMIS. InitSamples: 50000000, StepSamples: 100000, FinalResamples 100000, MaxIter 3000
Step Var(w_i)  MargLik    Unique Max(w_i)     ESS     Time
 375  2953.31    30.20 58170.52     0.00 29617.73    51.00
 376  2940.60    30.20 58240.11     0.00 29779.67    50.00
 377  2932.02    30.21 58284.71     0.00 29900.94    52.00
 378  2926.41    30.21 58329.11     0.00 29992.41    54.00
 379  2911.71    30.21 58390.62     0.00 30178.03    49.00
 380  2887.99    30.21 58461.56     0.00 30460.51    51.00
 381  2869.77    30.21 58539.13     0.00 30688.65    50.00
 382  2847.02    30.21 58630.70     0.00 30968.85    51.00
 383  2853.17    30.21 58632.16     0.00 30937.16    56.00
 384  2971.37    30.21 58637.47     0.00 29740.60    54.00
 385  2964.55    30.21 58684.93     0.00 29842.68    51.00
 386  2836.15    30.21 58768.23     0.00 31228.51    50.00
 387  2817.32    30.21 58844.50     0.00 31472.63    51.00
 388  2805.00    30.21 58901.31     0.00 31646.46    54.00
 389  2802.34    30.21 58920.87     0.00 31712.23    52.00
 390  2785.53    30.21 59009.48     0.00 31939.41    50.00
 391  2830.91    30.22 58996.02     0.00 31462.82    53.00
 392  2927.65    30.22 59000.14     0.00 30457.68    54.00
 393  2855.05    30.22 59032.45     0.00 31266.91    52.00
 394  2924.09    30.23 59055.18     0.00 30563.16    54.00
 395  2834.82    30.23 59187.09     0.00 31560.49    53.00
 396  2917.21    30.23 59179.26     0.00 30703.73    51.00
 397  2818.53    30.23 59293.11     0.00 31813.84    52.00
 398  2839.55    30.23 59307.03     0.00 31613.61    55.00
 399  2778.61    30.23 59391.79     0.00 32342.70    52.00
 400  2766.64    30.24 59421.44     0.00 32518.67    54.00
 401  2739.34    30.24 59501.23     0.00 32879.14    53.00
 402  2873.92    30.24 59484.21     0.00 31374.74    53.00
 403  3199.68    30.24 59482.69     0.00 28212.73    51.00
 404  2724.54    30.24 59614.90     0.00 33167.70    51.00
 405  2714.48    30.24 59659.52     0.00 33327.50    53.00
 406  2708.16    30.24 59682.91     0.00 33442.08    56.00
 407  2703.73    30.24 59741.42     0.00 33533.89    54.00
 408  2693.40    30.24 59795.62     0.00 33699.47    54.00
 409  2673.69    30.24 59872.03     0.00 33985.19    54.00
 410  2663.32    30.24 59914.94     0.00 34155.04    53.00
 411  2670.30    30.25 59964.99     0.00 34103.23    55.00
 412  2662.62    30.25 60010.91     0.00 34239.11    52.00
 413  2664.63    30.25 60022.18     0.00 34250.87    53.00
 414  2711.67    30.25 60006.79     0.00 33693.77    59.00
 415  2666.25    30.25 60064.13     0.00 34305.00    55.00
